Subject,Start Date
senior41,7/1/2019
junior22,7/1/2019
senior42,7/2/2019
junior21,7/2/2019
senior41,7/3/2019
junior22,7/3/2019
senior42,7/4/2019
junior21,7/4/2019
senior41,7/5/2019
junior31,7/5/2019
senior41,7/6/2019
junior32,7/6/2019
senior41,7/7/2019
junior31,7/7/2019
senior42,7/8/2019
junior32,7/8/2019
senior41,7/9/2019
junior22,7/9/2019
senior52,7/10/2019
junior32,7/10/2019
senior51,7/11/2019
junior31,7/11/2019
senior42,7/12/2019
junior21,7/12/2019
senior42,7/13/2019
junior32,7/13/2019
senior42,7/14/2019
junior21,7/14/2019
senior41,7/15/2019
junior32,7/15/2019
senior51,7/16/2019
junior22,7/16/2019
senior41,7/17/2019
junior21,7/17/2019
senior52,7/18/2019
junior32,7/18/2019
senior41,7/19/2019
junior31,7/19/2019
senior41,7/20/2019
junior21,7/20/2019
senior41,7/21/2019
junior31,7/21/2019
senior51,7/22/2019
junior21,7/22/2019
senior42,7/23/2019
junior22,7/23/2019
senior41,7/24/2019
junior21,7/24/2019
senior51,7/25/2019
junior31,7/25/2019
senior52,7/26/2019
junior22,7/26/2019
senior52,7/27/2019
junior21,7/27/2019
senior52,7/28/2019
junior22,7/28/2019
senior41,7/29/2019
junior32,7/29/2019
senior51,7/30/2019
junior31,7/30/2019
senior41,7/31/2019
junior22,7/31/2019
senior51,8/1/2019
junior31,8/1/2019
senior52,8/2/2019
junior22,8/2/2019
senior52,8/3/2019
junior32,8/3/2019
senior52,8/4/2019
junior22,8/4/2019
senior51,8/5/2019
junior21,8/5/2019
senior52,8/6/2019
junior32,8/6/2019
senior51,8/7/2019
junior22,8/7/2019
senior41,8/8/2019
junior31,8/8/2019
senior42,8/9/2019
junior32,8/9/2019
senior42,8/10/2019
junior22,8/10/2019
senior42,8/11/2019
junior32,8/11/2019
senior52,8/12/2019
junior22,8/12/2019
senior42,8/13/2019
junior21,8/13/2019
senior52,8/14/2019
junior31,8/14/2019
senior41,8/15/2019
junior32,8/15/2019
senior42,8/16/2019
junior21,8/16/2019
senior42,8/17/2019
junior22,8/17/2019
senior42,8/18/2019
junior21,8/18/2019
senior52,8/19/2019
junior22,8/19/2019
senior42,8/20/2019
junior21,8/20/2019
senior41,8/21/2019
junior22,8/21/2019
senior52,8/22/2019
junior32,8/22/2019
senior51,8/23/2019
junior22,8/23/2019
senior51,8/24/2019
junior31,8/24/2019
senior51,8/25/2019
junior22,8/25/2019
senior52,8/26/2019
junior32,8/26/2019
senior42,8/27/2019
junior22,8/27/2019
senior52,8/28/2019
junior31,8/28/2019
senior51,8/29/2019
junior32,8/29/2019
senior42,8/30/2019
junior31,8/30/2019
senior42,8/31/2019
junior21,8/31/2019
senior42,9/1/2019
junior31,9/1/2019
senior52,9/2/2019
junior21,9/2/2019
senior51,9/3/2019
junior31,9/3/2019
senior52,9/4/2019
junior22,9/4/2019
senior42,9/5/2019
junior31,9/5/2019
senior41,9/6/2019
junior32,9/6/2019
senior41,9/7/2019
junior22,9/7/2019
senior41,9/8/2019
junior32,9/8/2019
senior52,9/9/2019
junior31,9/9/2019
senior42,9/10/2019
junior22,9/10/2019
senior51,9/11/2019
junior31,9/11/2019
senior42,9/12/2019
junior21,9/12/2019
senior51,9/13/2019
junior32,9/13/2019
senior51,9/14/2019
junior21,9/14/2019
senior51,9/15/2019
junior32,9/15/2019
senior42,9/16/2019
junior31,9/16/2019
senior52,9/17/2019
junior21,9/17/2019
senior42,9/18/2019
junior31,9/18/2019
senior51,9/19/2019
junior22,9/19/2019
senior42,9/20/2019
junior32,9/20/2019
senior42,9/21/2019
junior31,9/21/2019
senior42,9/22/2019
junior32,9/22/2019
senior52,9/23/2019
junior31,9/23/2019
senior51,9/24/2019
junior21,9/24/2019
senior42,9/25/2019
junior22,9/25/2019
senior51,9/26/2019
junior21,9/26/2019
senior52,9/27/2019
junior22,9/27/2019
senior52,9/28/2019
junior21,9/28/2019
senior52,9/29/2019
junior22,9/29/2019
senior41,9/30/2019
junior32,9/30/2019
senior42,10/1/2019
junior31,10/1/2019
senior41,10/2/2019
junior22,10/2/2019
senior42,10/3/2019
junior31,10/3/2019
senior51,10/4/2019
junior32,10/4/2019
senior51,10/5/2019
junior21,10/5/2019
senior51,10/6/2019
junior32,10/6/2019
senior52,10/7/2019
junior21,10/7/2019
senior42,10/8/2019
junior31,10/8/2019
senior51,10/9/2019
junior32,10/9/2019
senior42,10/10/2019
junior22,10/10/2019
senior41,10/11/2019
junior31,10/11/2019
senior41,10/12/2019
junior32,10/12/2019
senior41,10/13/2019
junior31,10/13/2019
senior51,10/14/2019
junior32,10/14/2019
senior42,10/15/2019
junior22,10/15/2019
senior52,10/16/2019
junior31,10/16/2019
senior42,10/17/2019
junior22,10/17/2019
senior51,10/18/2019
junior32,10/18/2019
senior51,10/19/2019
junior21,10/19/2019
senior51,10/20/2019
junior32,10/20/2019
senior41,10/21/2019
junior22,10/21/2019
senior51,10/22/2019
junior31,10/22/2019
senior41,10/23/2019
junior21,10/23/2019
senior51,10/24/2019
junior22,10/24/2019
senior41,10/25/2019
junior21,10/25/2019
senior41,10/26/2019
junior31,10/26/2019
senior41,10/27/2019
junior21,10/27/2019
senior42,10/28/2019
junior31,10/28/2019
senior41,10/29/2019
junior21,10/29/2019
senior42,10/30/2019
junior32,10/30/2019
senior51,10/31/2019
junior31,10/31/2019
senior41,11/1/2019
junior32,11/1/2019
senior41,11/2/2019
junior21,11/2/2019
senior41,11/3/2019
junior32,11/3/2019
senior52,11/4/2019
junior21,11/4/2019
senior51,11/5/2019
junior22,11/5/2019
senior52,11/6/2019
junior21,11/6/2019
senior51,11/7/2019
junior32,11/7/2019
senior52,11/8/2019
junior22,11/8/2019
senior52,11/9/2019
junior31,11/9/2019
senior52,11/10/2019
junior22,11/10/2019
senior51,11/11/2019
junior32,11/11/2019
senior52,11/12/2019
junior22,11/12/2019
senior51,11/13/2019
junior31,11/13/2019
senior42,11/14/2019
junior21,11/14/2019
senior51,11/15/2019
junior32,11/15/2019
senior51,11/16/2019
junior31,11/16/2019
senior51,11/17/2019
junior32,11/17/2019
senior41,11/18/2019
junior21,11/18/2019
senior42,11/19/2019
junior22,11/19/2019
senior52,11/20/2019
junior32,11/20/2019
senior41,11/21/2019
junior31,11/21/2019
senior52,11/22/2019
junior21,11/22/2019
senior52,11/23/2019
junior22,11/23/2019
senior52,11/24/2019
junior21,11/24/2019
senior42,11/25/2019
junior32,11/25/2019
senior52,11/26/2019
junior21,11/26/2019
senior51,11/27/2019
junior31,11/27/2019
senior41,11/28/2019
junior21,11/28/2019
senior41,11/29/2019
junior21,11/29/2019
senior41,11/30/2019
junior22,11/30/2019
senior41,12/1/2019
junior22,12/1/2019
senior51,12/2/2019
junior32,12/2/2019
senior42,12/3/2019
junior31,12/3/2019
senior41,12/4/2019
junior21,12/4/2019
senior52,12/5/2019
junior32,12/5/2019
senior42,12/6/2019
junior31,12/6/2019
senior42,12/7/2019
junior32,12/7/2019
senior42,12/8/2019
junior31,12/8/2019
senior51,12/9/2019
junior21,12/9/2019
senior41,12/10/2019
junior22,12/10/2019
senior42,12/11/2019
junior21,12/11/2019
senior51,12/12/2019
junior32,12/12/2019
senior52,12/13/2019
junior22,12/13/2019
senior52,12/14/2019
junior31,12/14/2019
senior52,12/15/2019
junior22,12/15/2019
senior51,12/16/2019
junior21,12/16/2019
senior42,12/17/2019
junior31,12/17/2019
senior52,12/18/2019
junior32,12/18/2019
senior41,12/19/2019
junior21,12/19/2019
senior51,12/20/2019
junior22,12/20/2019
senior51,12/21/2019
junior31,12/21/2019
senior51,12/22/2019
junior22,12/22/2019
senior41,12/23/2019
junior21,12/23/2019
senior52,12/24/2019
junior22,12/24/2019
senior42,12/25/2019
junior21,12/25/2019
senior41,12/26/2019
junior32,12/26/2019
senior52,12/27/2019
junior31,12/27/2019
senior52,12/28/2019
junior21,12/28/2019
senior52,12/29/2019
junior31,12/29/2019
